timeseries_id;scenario_id;region;input_energy_vector;output_energy_vector;parameter_name;technology;technology_type;unit;tags;method;source;comment;timeindex_start;timeindex_stop;timeindex_resolution;series
1;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1990;;year;3,44
2;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1991;;year;3,05
3;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1992;;year;3,61
4;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1993;;year;3,81
5;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1994;;year;4,28
6;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1995;;year;4,68
7;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1996;;year;4,78
8;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1997;;year;4,12
9;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1998;;year;4,51
10;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;1999;;year;5,19
11;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;2000;;year;6,25
12;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;2001;;year;6,62
13;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;2002;;year;7,74
14;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;2003;;year;7,76
15;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;2004;;year;9,49
16;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;2005;;year;10,31
17;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;2006;;year;11,69
18;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;2007;;year;14,36
19;0;Germany;;;renewable_share_gross_electricity_consumption;;;%;;measurement;BMWi Energiedaten Gesamtausgabe - Stand: September 2019;;2008;;year;15,23
