id;scenario_id;region;year;input_energy_vector;output_energy_vector;technology;technology_type;parameter_name;value;unit;tags;method;source;comment
1;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;unknown;unknown;unknown;unknown;WACC;0.07;;;"{""value"": ""Assumption""}";;
2;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;solar radiation;electricity;photovoltaics;utility;capital costs;530000;€/MW;;;Vartiainen2019;2017 upper half of possible interval, CAPEX not as sensitive in LCOE
3;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;solar radiation;electricity;photovoltaics;utility;fixed costs;7000;€/MW/a;;;Vartiainen2019;2017 Steffen et al.
4;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;solar radiation;electricity;photovoltaics;utility;variable costs;0;€/MWh;;"{""value"": ""Assumption""}";;
5;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;solar radiation;electricity;photovoltaics;utility;lifetime;30;years;;;Vartiainen2019;
6;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;solar radiation;electricity;photovoltaics;rooftop;capital costs;1490000;€/MW;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p266
7;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;solar radiation;electricity;photovoltaics;rooftop;fixed costs;15288;€/MW/a;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p266
8;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;solar radiation;electricity;photovoltaics;rooftop;variable costs;0;€/MWh;;"{""value"": ""Assumption""}";;
9;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;solar radiation;electricity;photovoltaics;rooftop;lifetime;30;years;;;Vartiainen2019;
10;1;"[""DE""]";2016;unknown;co2;unknown;unknown;emission costs;26.8;€/t;;"{""value"": "" Interpolated value from 2025 and 2040""}";IEA2018;p. 604, Table B.5, Scenario Current Policies
11;1;"[""Baltic"",""MV""]";2016;electricity;electricity;transmission;hvac;installed capacity;600;MW;;;WirtschaftundEnergieTrans;
12;1;"[""North"",""NI""]";2016;electricity;electricity;transmission;hvac;installed capacity;5309;MW;;;WirtschaftundEnergieTrans;
13;1;"[""Baltic"",""MV""]";2016;electricity;electricity;transmission;hvac;distance;66.74;km;;"{""value"": ""beeline from wind park to network link on mainland""}";own calculation;
14;1;"[""North"",""NI""]";2016;electricity;electricity;transmission;hvac;distance;104.47;km;;"{""value"": ""beeline from wind park to network link on mainland""}";own calculation;
